"name","icpsr","state","party","congress","chamber","born","died","image","source","provenance"
"ABRAHAM, Ralph","021522","Louisiana","Republican Party",116,"House",1954,"","images/bio_guide/021522.jpg","bio_guide",""
"ADAMS, Alma","021545","North Carolina","Democratic Party",116,"House",1946,"","images/bio_guide/021545.jpg","bio_guide",""
"ADERHOLT, Robert","029701","Alabama","Republican Party",116,"House",1965,"","images/bio_guide/029701.jpg","bio_guide",""
"AGUILAR, Peter Rey","021506","California","Democratic Party",116,"House",1979,"","images/bio_guide/021506.jpg","bio_guide",""
"ALEXANDER, Lamar","040304","Tennessee","Republican Party",116,"Senate",1940,"","images/bio_guide/040304.jpg","bio_guide",""
"ALLEN, Rick W.","021516","Georgia","Republican Party",116,"House",1951,"","images/bio_guide/021516.jpg","bio_guide",""
"ALLRED, Colin","021900","Texas","Democratic Party",116,"House",1983,"","images/bio_guide/021900.jpg","bio_guide",""
"AMASH, Justin","091143","Michigan","Independent",116,"House",1980,"","images/bio_guide/091143.jpg","bio_guide",""
"AMASH, Justin","021143","Michigan","Republican Party",116,"House",1980,"","images/bio_guide/021143.jpg","bio_guide",""
"AMODEI, Mark E.","021196","Nevada","Republican Party",116,"House",1958,"","images/bio_guide/021196.jpg","bio_guide",""
"ARMSTRONG, Kelly","021901","North Dakota","Republican Party",116,"House",1976,"","images/bio_guide/021901.jpg","bio_guide",""
"ARRINGTON, Jodey Cook","021700","Texas","Republican Party",116,"House",1972,"","images/wiki/021700.jpg","wiki",""
"AXNE, Cynthia","021902","Iowa","Democratic Party",116,"House",1965,"","images/bio_guide/021902.jpg","bio_guide",""
"BABIN, Brian","021551","Texas","Republican Party",116,"House",1948,"","images/bio_guide/021551.jpg","bio_guide",""
"BACON, Donald J.","021701","Nebraska","Republican Party",116,"House",1963,"","images/wiki/021701.jpg","wiki",""
"BAIRD, James","021903","Indiana","Republican Party",116,"House",1945,"","images/bio_guide/021903.jpg","bio_guide",""
"BALDERSON, Troy","021759","Ohio","Republican Party",116,"House",1962,"","images/manual/021759.jpg","manual","Troy Balderson Twitter Account"
"BALDWIN, Tammy","029940","Wisconsin","Democratic Party",116,"Senate",1962,"","images/bio_guide/029940.jpg","bio_guide",""
"BANKS, James E.","021702","Indiana","Republican Party",116,"House",1979,"","images/bio_guide/021702.jpg","bio_guide",""
"BARR, Garland H. (Andy) IV","021333","Kentucky","Republican Party",116,"House",1973,"","images/bio_guide/021333.jpg","bio_guide",""
"BARRAGÁN, Nanette Diaz","021703","California","Democratic Party",116,"House",1976,"","images/bio_guide/021703.jpg","bio_guide",""
"BARRASSO, John A.","040707","Wyoming","Republican Party",116,"Senate",1952,"","images/bio_guide/040707.jpg","bio_guide",""
